"","StartHub","StartLongitude","StartLatitude"
"1","SW Moody at Thomas",-122.6719048,45.49429475
"2","SW Moody at Aerial Tram Terminal",-122.6716433,45.49913657
"3","SW 5th at Oak",-122.6763654,45.5211726
"4","SW 3rd at Ankeny",-122.6732969,45.52247868
"5","SW Yamhill at Director Park",-122.6812685,45.51898132
"6","SW 10th at Columbia",-122.6846749,45.51544427
"7","SW Park at Portland Art Museum",-122.6833123,45.51592353
"8","NE Holladay at MLK",-122.6628363,45.52990305
"9","SW 12th at Clay",-122.6870298,45.51507401
"10","NW Naito at Ironside",-122.674166,45.52871176
"11","SW Stark at Burnside",-122.6840124,45.52279251
"12","NW Johnson at Jamison Square",-122.6820195,45.5286366
"13","NW Pettygrove at 15th",-122.68626,45.53290424
"14","SW Morrison at 18th",-122.6896772,45.52196048
"15","SW Salmon at Waterfront Park",-122.6738924,45.51556831
"16","NW 19th at Johnson",-122.6905073,45.52862062
"17","SE 2nd Pl at Tilikum Way",-122.6633379,45.50624163
"18","SE Hawthorne at 20th",-122.6454261,45.51222277
"19","SW Harrison at 1st",-122.6777159,45.50971347
"20","SE 29th at Hawthorne",-122.6363119,45.51202353
"21","NW Kearney at 23rd",-122.6987028,45.52914205
"22","SW River at Montgomery",-122.6735169,45.50910258
"23","SE 14th at Stark",-122.651685,45.51844688
"24","N Failing at Williams",-122.6668663,45.55076344
"25","NW Broadway at Everett",-122.6775563,45.52507854
"26","NW Everett at 22nd",-122.6965141,45.52487653
"27","NW 21st at Johnson",-122.6945615,45.52826831
"28","NW Glisan at 21st",-122.6941484,45.52634601
"29","SW 18th at Jefferson",-122.6924908,45.51816567
"30","SW 4th at College",-122.6812121,45.50936198
"31","NW 18th at Flanders",-122.6892561,45.52556242
"32","NW 2nd at Everett",-122.6725459,45.52536699
"33","NW 22nd at Lovejoy",-122.6966429,45.52976024
"34","SE 9th at Belmont",-122.6566324,45.51633325
"35","NW Front at 17th",-122.6881027,45.53715171
"36","N Prescott at Interstate",-122.6818612,45.55522233
"37","NW Marshall at Tanner Springs Park",-122.6815957,45.53083126
"38","NE Wheeler at Multnomah",-122.6658887,45.53086696
"39","NE 15th at Broadway",-122.6505639,45.53508224
"40","SE Gideon at 12th Ave MAX station",-122.6535398,45.50280906
"41","SE 40th at Hawthorne",-122.6210475,45.51186486
"42","N Morris at Williams",-122.6667845,45.54471503
"43","NE Couch at MLK",-122.6619177,45.52358836
"44","NE Sandy at 16th",-122.6497686,45.52440674
"45","NW 23rd at Overton",-122.6986304,45.53211645
"46","N Mason at Williams",-122.6669146,45.55335313
"47","SE Ladd at Hawthorne",-122.6533493,45.5120818
"48","NW 13th at Marshall",-122.6844227,45.53080401
"49","NW 18th at Northrup",-122.6895659,45.53142501
"50","NW 11th at The Fields",-122.6824299,45.53232501
"51","NW Thurman at 24th",-122.7006608,45.53550403
"52","NE Fremont at 15th - Community Corral",-122.6508106,45.54828551
"53","SE 7th at Burnside",-122.6587513,45.52269855
"54","NW Station at Irving",-122.6766282,45.5282777
"55","NE Alberta at NE 29th/30th - Community Corral",-122.6355462,45.55902314
"56","SE 30th at Division",-122.6345551,45.50468892
"57","NE Multnomah at 9th",-122.6574612,45.53140997
"58","SE Alder at 6th",-122.6600522,45.5178988
"59","SE Clay at Water",-122.6662856,45.51147657
"60","NW Couch at 2nd",-122.6721825,45.52389222
"61","NE Glisan at 24th",-122.6416328,45.52649493
"62","N Williams at Fremont",-122.6667604,45.5475928
"63","SW Naito at Morrison",-122.6724963,45.51782551
"64","N Killingsworth at Albina",-122.6747467,45.56282546
"65","NE Going at Grand",-122.6603794,45.55645437
"66","SW Broadway at Smith Memorial Student Union",-122.68372,45.51184309
"67","SE 34th at Division",-122.6296306,45.5048393
"68","NE 22nd at Burnside",-122.6434118,45.52297292
"69","SE Elliott at Division",-122.6533681,45.50512504
"70","NE 2nd at NE Schuyler",-122.6636343,45.53561394
"71","SE Clinton at 21st",-122.6447314,45.5033655
"72","NW Couch at 11th",-122.6818129,45.52374151
"73","NE Multnomah at Grand",-122.659741,45.53146071
"74","Rose Festival - Yamhill Entrance",-122.6721892,45.51662832
"75","N Vancouver at Alberta",-122.6685226,45.55941042
"76","SW 3rd at Morrison",-122.6755822,45.51803882
"77","SE 29th at Belmont",-122.6360679,45.51623176
"78","NE Alberta at 22nd - Community Corral",-122.6427104,45.55905507
"79","NW Flanders at 14th",-122.6855063,45.52579919
"80","SW 5th at Main",-122.6790771,45.51609691
"81","SE Belmont at 33rd",-122.6307517,45.51649676
"82","NW 10th at Everett",-122.6811048,45.52500056
"83","SW Park at SW Wright (Oregon Holocaust Memorial) Community Corral",-122.7044079,45.52181825
"84","Tilikum West at SW Moody",-122.6714408,45.5027677
"85","SE 34th at Hawthorne",-122.6294804,45.511907
"86","SW Park at W Burnside - Community Corral",-122.6789939,45.52276526
"87","SW Market at Keller Fountain Park",-122.6789108,45.5123205
"88","SE Water at Taylor",-122.665776,45.51515295
"89","SE Belmont at 20th",-122.6460457,45.51636144
"90","NE 11th at Holladay Park",-122.654669,45.53027884
"91","SW 10th at Stark",-122.6810794,45.52175423
"92","NW Raleigh at 21st",-122.6949424,45.53409115
"93","SW 2nd at Pine",-122.6726291,45.52142066
"94","NE MLK at Knott",-122.6614845,45.54179953
"95","N Mississippi at N Skidmore",-122.6755413,45.55458563
"96","SW 5th at Morrison",-122.6774061,45.51889487
"97","Urban Center Plaza at SW 6th St",-122.682281,45.51158277
"98","N Mississippi at Beech",-122.6756573,45.54998583
"99","NE Broadway at 12th",-122.653631,45.53496857
"100","Rose Festival - Pine Entrance",-122.6699683,45.52071699
"101","SW Naito at Ankeny Plaza",-122.6703492,45.52269573
"102","SW Morrison at Pioneer Courthouse Sq.",-122.6792488,45.51928859
"103","Metro Campus - Community Corral",-122.6603526,45.52771962
"104","SE 29th and Gladstone - Community Corral",-122.635762,45.493341
"105","NE 28th at Couch - Community Corral",-122.6372065,45.52373453
"106","NE 17th at Killingsworth - Community Corral",-122.6480594,45.56274555
"107","NE Alberta at 10th - Community Corral",-122.6554307,45.55913676
"108","SE 37th at Division - Community Corral",-122.62528,45.504732
"109","SE Belmont at 42nd",-122.6189983,45.51645917
"110","NW 20th at Burnside",-122.6932633,45.52331306
"111","NE 33rd at Jarrett (Kennedy School) - Community Corral",-122.6305372,45.56453067
"112","SE Clinton at 26th",-122.6395279,45.50356665
"113","NE Alberta at 14th - Community Corral",-122.6514316,45.55916922
"114","SW 4th at Jefferson (City Hall)",-122.6788947,45.51505334
"115","NE 14th Pl at Prescott - Community Corral",-122.6506644,45.55568352
"116","SE 29th at Stark",-122.6359928,45.51936283
"117","N Killingsworth at Gay - Community Corral",-122.6889932,45.5627419
"118","NE 43rd at Hancock - Community Corral",-122.61862,45.536585
"119","NE Killingsworth at 30th - Community Corral",-122.6350486,45.56271655
"120","SE 28th at Pine - Community Corral",-122.637238,45.5205931
"121","SE 50th at Division - Community Corral",-122.610885,45.505285
"122","NE 48th at Fremont - Community Corral",-122.613677,45.548307
"123","N Interstate at Willamette - Community Corral",-122.6820369,45.56197102
"124","N Michigan at Killingsworth - Community Corral",-122.6770306,45.56251948
"125","NE 22nd at Thompson - Community Corral (Irvington Tennis Club)",-122.643288,45.538936
"126","N Russell at Interstate Community Corral",-122.6769716,45.54107815
